el,f11,f12,f13,f21,f22,f23
46524, -0.780426, 0.373767, 0.501232, -0.408565, -0.912351, 0.026283
46525, -0.927845, 0.357900, 0.104935, -0.331224, -0.938717, 0.095402
46526, -0.958029, -0.014957, 0.286279, 0.233314, -0.972096, -0.024371
46527, -0.812416, 0.333495, 0.478291, -0.388057, -0.921152, -0.029838
46528, -0.840936, 0.274677, 0.466239, -0.342097, -0.937745, -0.060039
46529, -0.811375, 0.338370, 0.476630, -0.406056, -0.912254, -0.053951
46530, -0.800828, 0.349114, 0.486614, -0.409282, -0.911899, -0.030489
46531, -0.762509, 0.364178, 0.534747, -0.378672, -0.920852, 0.092941
46532, -0.820631, 0.307635, 0.481587, -0.367416, -0.929449, -0.033628
46533, -0.883299, 0.264022, 0.387395, -0.329701, -0.937580, -0.110639
46534, -0.877037, 0.273651, 0.394869, -0.347320, -0.929686, -0.122690
46535, -0.879900, 0.273305, 0.388690, -0.350609, -0.927213, -0.131719
46536, -0.856759, 0.278055, 0.434338, -0.351185, -0.931411, -0.095619
46537, -0.798845, -0.014142, 0.601370, -0.101430, -0.989371, -0.104201
46538, -0.917046, 0.251527, 0.309452, -0.314419, -0.938710, -0.141298
46539, -0.920292, 0.249727, 0.301162, -0.298084, -0.945137, -0.133649
46540, -0.901659, 0.262839, 0.343403, -0.326142, -0.935241, -0.137682
46541, -0.867820, 0.282721, 0.408604, -0.343430, -0.934993, -0.088565
46542, -0.869544, 0.277619, 0.408437, -0.337146, -0.937336, -0.087940
46543, -0.605521, 0.766248, 0.214961, -0.784096, -0.620493, -0.013494
46544, -0.666342, 0.716822, 0.205318, -0.738488, -0.664811, -0.112526
46545, -0.729873, 0.647936, 0.217863, -0.669886, -0.736448, -0.094321
46546, -0.597138, 0.772936, 0.214466, -0.797770, -0.601587, -0.040698
46547, -0.750377, 0.624144, 0.217667, -0.627899, -0.772719, -0.092995
46548, -0.718085, 0.666827, 0.199236, -0.684806, -0.718558, -0.121310
46549, -0.606580, 0.768391, 0.204050, -0.800562, -0.584704, -0.131231
46550, -0.684535, 0.698364, 0.209045, -0.724849, -0.674441, -0.140440
46551, -0.637656, 0.742216, 0.206179, -0.760551, -0.646488, -0.060121
46552, -0.659707, 0.722972, 0.205178, -0.754873, -0.630455, -0.180814
46553, -0.734835, 0.642896, 0.216106, -0.665240, -0.745542, -0.040285
46554, -0.774722, 0.597998, 0.205436, -0.587384, -0.802686, -0.103320
46555, -0.706180, 0.678160, 0.203493, -0.686947, -0.721325, -0.088282
46556, -0.768000, 0.576210, 0.279568, -0.607989, -0.793054, -0.037602
46557, -0.771920, 0.587110, 0.243806, -0.653122, -0.746715, -0.125888
46558, -0.787061, 0.491475, 0.372810, -0.540828, -0.841133, -0.000109
46559, -0.797132, 0.495445, 0.345130, -0.563304, -0.825464, -0.036033
46560, -0.842263, 0.424034, 0.332849, -0.673172, -0.691187, -0.262869
46561, -0.722855, 0.635182, 0.272072, -0.659843, -0.751365, -0.007619
46562, -0.798723, 0.478732, 0.364495, -0.504889, -0.862300, 0.039061
46563, -0.826986, 0.490189, 0.275333, -0.512073, -0.858713, -0.019848
46564, -0.797385, 0.507782, 0.326091, -0.552795, -0.833223, 0.012559
46565, -0.932048, 0.361136, 0.029449, -0.364783, -0.927771, -0.078575
46566, -0.929950, 0.361975, 0.064555, -0.364359, -0.928248, -0.074821
46567, -0.928610, 0.368742, 0.041383, -0.370106, -0.924122, -0.094969
46568, -0.911506, 0.398777, 0.100668, -0.408321, -0.908378, -0.090128
46569, -0.914222, 0.395954, 0.086135, -0.404459, -0.905088, -0.131260
46570, -0.928746, 0.364555, 0.067313, -0.374336, -0.923472, -0.084100
46571, -0.921147, 0.372071, 0.114243, -0.382626, -0.920687, -0.077021
46572, -0.912243, 0.395027, 0.108470, -0.401594, -0.906277, -0.131850
46573, -0.937892, 0.346581, -0.015487, -0.344472, -0.933210, -0.102264
46574, -0.943210, 0.330815, -0.030268, -0.325481, -0.936408, -0.131155
46575, -0.908088, 0.416983, 0.038751, -0.414501, -0.885722, -0.209010
46576, -0.942827, 0.332180, -0.027082, -0.324978, -0.936550, -0.131389
46577, -0.943737, 0.330108, -0.019703, -0.322960, -0.933083, -0.158283
46578, -0.939851, 0.340549, -0.026588, -0.332326, -0.928384, -0.166322
46579, -0.907957, 0.417329, 0.038082, -0.415464, -0.876056, -0.244776
46580, -0.914007, 0.404216, 0.034641, -0.404669, -0.904346, -0.135650
46581, -0.926917, 0.375218, -0.006008, -0.363554, -0.904478, -0.223042
46582, -0.930174, 0.367006, -0.009089, -0.355132, -0.900956, -0.249319
46583, -0.919767, 0.392459, 0.001988, -0.382864, -0.896241, -0.223978
46584, -0.950687, 0.308107, -0.035558, -0.293714, -0.931706, -0.213672
46585, -0.907258, 0.420532, -0.005960, -0.408478, -0.884600, -0.225010
46586, -0.914911, 0.403651, -0.002052, -0.388636, -0.872757, -0.295394
46587, -0.905939, 0.423071, 0.016860, -0.411971, -0.865376, -0.285314
46588, -0.937816, 0.346296, -0.024084, -0.325724, -0.905034, -0.273528
46589, -0.903344, 0.428913, 0.001781, -0.409361, -0.860741, -0.302570
46590, -0.876926, 0.475476, 0.070162, -0.475902, -0.840921, -0.257620
46591, -0.899123, 0.436540, -0.031807, -0.396042, -0.837889, -0.375624
46592, -0.870200, 0.492420, -0.016565, -0.457276, -0.823455, -0.335889
46593, -0.837882, 0.536775, 0.099126, -0.531172, -0.765311, -0.363530
46594, -0.916378, 0.400203, -0.009475, -0.379319, -0.876643, -0.295997
46595, -0.894861, 0.442581, 0.057849, -0.439350, -0.853116, -0.281363
46596, -0.735671, 0.653247, 0.179042, -0.662042, -0.513008, -0.546372
46597, -0.661393, 0.702680, 0.262299, -0.717913, -0.466100, -0.517060
46598, -0.732861, 0.663263, 0.151646, -0.632939, -0.528386, -0.565859
46599, -0.705109, 0.694493, 0.143182, -0.639058, -0.515580, -0.570773
46600, -0.752988, 0.643173, 0.139058, -0.608898, -0.598869, -0.520191
46601, -0.758329, 0.612978, 0.221798, -0.640503, -0.641077, -0.422819
46602, -0.456866, 0.804523, 0.379494, -0.793305, -0.173505, -0.583578
46603, -0.472812, 0.794519, 0.381037, -0.772193, -0.160313, -0.614831
46604, -0.535258, 0.771718, 0.343440, -0.754855, -0.260950, -0.601747
46605, -0.488334, 0.798015, 0.353132, -0.685792, -0.103631, -0.720381
46606, -0.555782, 0.738863, 0.381035, -0.688418, -0.149293, -0.709784
